Ship,Flag,Sunk date,Notes,Coordinates
Kapodistrias,Greece,1985,A Greek bulk carrier wrecked at Cape Recife near Port Elizabeth,34°02′32″S 25°41′36″E
Kiperousa,Unknown,2005,A bulk carrier that was stranded northeast of Port Alfred.[19],33°20′S 27°25′E
Meng Yaw,Unknown,,A fishing trawler that sank near St Francis Bay.,34°10′S 24°30′E
Oceanos,Greece,4-Aug-91,"A cruise liner that sank off the Transkei coast, after leaving East London en route to Durban.[20]",32°07′15″S 29°07′13″E
Santissimo Sacramento,Portugal,1647,A Portuguese vessel wrecked at Sardinia Bay near Port Elizabeth,34°02′35″S 25°31′13″E
Shalom,Bahamas,26-Jul-01,A combined ocean liner/cruise ship that sank off Cape St. Francis while under tow to be scrapped.,
TMP Sagittarius,Unknown,2-Jul,Stranded southwest of East London.[21],33°4′S 27°51′E
HMS Otus,Royal Navy,Sep-46,An Odin-class submarine that was scuttled off Durban.,29°52′21″S 31°05′39″E
Phoenix,Equatorial Guinea,11-Sep,"A tanker that ran aground near Ballito on 26 July 2011, and was then refloated and scuttled offshore.",
Volo,Norway,6 March 1886,A barque that was stranded in the Bushman River.,
A.H. Stevens,Unknown,7-Feb-62,Stranded in Shell Bay on Robben Island.,
Arniston,East India Company,30 May 1815,"A British East Indiaman, requisitioned for troop transport, wrecked near Waenhuiskrans.[22]",34°39′36″S 20°15′7″E
HMS Birkenhead,Royal Navy,26 February 1852,"A British iron-hulled troopship that struck a submerged rock near Gansbaai. The chivalry of the soldiers in abandoning ship gave rise to the ""women and children first"" protocol.[23]",34°38′42″S 19°17′9″E
BOS 400,France,26-Jun-94,A derrick/lay barge that ran aground on Duiker point after breaking loose while being towed around the Cape Peninsula by the tug Tigr in a storm.[24],34°2′13.28″S 18°18′31.18″E
British Peer,United Kingdom,8 December 1896,A three-masted iron sailing ship that ran aground near the Cape of Good Hope.[25],33°30.4′S 18°18.70′E
Cospatrick,United Kingdom,17 November 1874,"A wooden 3-masted full-rigged sailing ship that caught fire and sank south of the Cape of Good Hope, with a loss of 369 lives.[26]",37°S 12°E
HMS Guardian,Royal Navy,24 December 1789,"A 44-gun Roebuck-class ship laid down in 1780. Severely damaged by an iceberg, the ship was sailed 400 leagues (1,900 km) to the Cape of Good Hope, where it was intentionally grounded.[27]",
Ikan Tanda,Singapore,2001,"A cargo ship that ran aground near Cape Town, and was re-floated and scuttled 320 kilometres (200 mi) from shore.[28]",
Joanna,East India Company,8 June 1682,An East Indiaman (the first to be wrecked off the South African coast) that sank near Cape Agulhas. A considerable amount of gold was on the ship.[29],34°46′58″S 19°40′46″E
Johanna Wagner,Prussia,15 July 1862,A Prussian barque that ran ashore due to navigational error near Muizenberg.[30],
Kakapo,United Kingdom,25-May-00,A British 665-ton schooner-rigged steamship built in 1898 by the Grangemouth Dockyard Company,34°07′26″S 18°20′56″E
Maori,United Kingdom,5-Aug-09,"A Shaw Savill Line steamship that was wrecked near Llandudno, Cape Town.[31]",
Meisho Maru No. 38,Japan,1982,A fishing trawler that sank near Cape Aghulas.,34°49′S 19°59′E
Nolloth,Unknown,Unknown,A coastal trading vessel that sunk near Olifantsbos Bay.,34°16′S 18°23′E
Pantalis A Lemos,Unknown,1978,A bulk carrier that sank near Saldanha Bay.,33°9′S 18°1′E
HMS Pelorus,Royal Navy,12-Nov-94,"A British Algerine-class minesweeper built in 1943. It was renamed SAS Pietermarizburg in 1947, and at the end of its career was scuttled to make an artificial reef at Miller's Point near Simon's Town.[32]",
Phoenix,East India Company,19 July 1829,A merchant vessel that was wrecked near Simon's Town.,34°11.388′S 18°26.898′E
SAS President Kruger,South African Navy,18-Feb-82,"A South African frigate that sank in deep water after a collision with its refueling ship, SAS Tafelberg.[33]",35°15′S 17°21′E
São José Paquete Africa,Portugal,27 December 1794,"A Portuguese slave ship that was wrecked on the rocks off Cape Town, resulting in the deaths of over 200 slaves. The wreck was rediscovered in the 1980s, but was not identified until 2015.",
HMS Sceptre,Royal Navy,5 November 1799,"A 64-gun third-rate ship of the line of the Royal Navy that was blown ashore in Table Bay by a gale, with heavy losses.[34]",33°55′12″S 18°27′0″E
Seli 1,Turkey,18-Sep-09,A Turkish bulk carrier carrying coal that ran aground on Bloubergstrand near Table Bay.,33°49′15.75″S 18°28′24.58″E
Staaten Generaal,Batavian Republic,1806,A Dutch ship of the line that was scuttled near Simon's Town to prevent her falling into enemy hands following the Battle of Blaauwberg.,
HMS Thames,Royal Navy,13-May-47,"A former Mersey-class protected cruiser that became famous as SATS General Botha, a merchant naval training ship. After retiring as a training ship, it reverted to its original name and was sunk in False Bay near Simon's Town as a target.[35]",34°13′48″S 18°37′48″E
Thomas T. Tucker,United States,27-Nov-42,"A Houston-built munitions carrier that ran ashore on Oliphantsbos Point, near Cape Point.[36]",34°16′23.66″S 18°22′48.33″E
Treasure,Panama,23-Jun-00,"A bulk ore carrier that developed a hole in its hull and sank under tow northwest of Cape Town, causing an oil spill that killed around 2,000 endangered African penguins.",33°40.30′S 18°19.90′E
Wafra,Liberia,28-Feb-71,"An oil tanker that grounded near Cape Agulhas, causing an oil spill. The ship was later refloated, towed out to sea, and re-sunk to avoid further contamination of the coastline.",36°57′S 20°42′E
Waterloo,United Kingdom,28 August 1842,"A British convict ship that was driven ashore in Table Bay by a storm, together with the troop transport Abercrombie Robinson.",
Diemermeer,Dutch East India Company,1747,"An East Indiaman that was wrecked off the Banana Islands, Sierra Leone. The wreck was rediscovered in 2014.",
George,Nigeria,1-Apr-99,A Nigerian and Port Harcourt to Nembe route ferry that capsized in rough sea off Port Harcourt. At least 100 people were killed.[37],
Hartwell,East India Company,22 May 1787,An East Indiaman that ran aground off Cape Verde following a mutiny.,
Joola,Senegal,26-Sep-02,A Senegalese passenger ship that capsized off the coast of the Gambia.[38],
Medusa,Kingdom of France,2 July 1816,"A French passenger ship that sank near Bank of Arguin. The traumatic experience of the stranded passengers and crew was immortalized in Géricault's painting, The Raft of the Medusa.",
Primauguet,French Navy,8-Nov-42,"A French Duguay-Trouin-class light cruiser, laid down in 1923, that was sunk by gunfire from USS Massachusetts.",
Tor Hugo,Norway,27-Nov-72,A Norwegian patrol boat that served in World War II before being sold off to civilian ownership as a fishing vessel.,
William D. Lawrence,Canada,,A full-rigged ship that sank off Dakar.[39],
Fifi,Bahrain,Unknown,A tugboat that sank in the 1980s. The wreck is a popular shallow depth dive site.[1],"26° 9'28.16""N
50°45'18.57""E"
Unknown,Unknown,16–17th century,A ship that was sacked and burned along with the Abu Mahir fort on Muharraq Island. The ship's cannons are now kept outside the Bahrain National Museum.[2],
Demas Victory,United Arab Emirates,30-Jun-09,A supply ship that capsized about 10 nautical miles (19 km; 12 mi) off Doha.,
Free Enterprise,Egypt,2004,"A Ro-Pax vessel, later renamed Al Fahad, that was anchored after engine problems and abandoned 14.6 kilometres (9.1 mi) southwest of the old city center of Jeddah.[3]",21°22′35.67″N 39°07′13.51″E
Glen Sannox,Panama,2000,A Clyde car ferry built in 1957 which ran aground south of Jeddah.[3],
Saudi Golden Arrow,Unknown,Unknown,"A Norwegian ferry, formerly Europafergen,[4] reported to be laid up at Shoieba.[3]",20°52′02.87″N 39°21′39.77″E
Allah Mina,Unknown,Unknown,A cement barge that sank off Dubai.,25°21′19.7″N 55°12′17.7″E
Dara,United Kingdom,10-Apr-61,"An ocean liner that suffered an internal explosion off Dubai, possibly due to an act of sabotage. 238 people were killed, and the ship sank under tow two days later.",25°34′29″N 55°27′58″E
Aden,United Kingdom,1897,A P&O ship that was lost off Socotra.,
Hutton,Unknown,1882,A steamboat that was wrecked in the Gulf of Aden.,
HMS Khartoum,Royal Navy,23-Jun-40,A K-class destroyer that caught fire and sank off Perim.,12°38′0″N 43°24′0″E
HMIS Jamnagar,Indian Navy,29-Aug-48,A coastal trading vessel that ran aground on Domanik Island in the Bay of Bengal.,21°53′N 90°48′E
USS Salute,United States Navy,8-Jun-45,An Admirable-class minesweeper that struck a mine in Brunei Bay.,5°8′N 115°5′E
HMIS Indus,Indian Navy,6-Apr-42,A Grimsby-class sloop that was bombed by Japanese aircraft off Akyab.,20°7′N 92°54′E
Amatsukaze,Imperial Japanese Navy,6-Apr-45,A Kagerō-class destroyer that was sunk by US aircraft east of Amoy.,24°30′N 118°10′E
SMS Cormoran,Imperial German Navy,28-Sep-14,A Bussard-class cruiser that was scuttled at Tsingtau to prevent capture.,36°03′00″N 120°16′00″E
Dashun,China,Nov-99,"A ferry that ran between Dalian and Yantai. It caught fire and capsized off Yantai, Shandong, killing at least 280.",
Dingyuan,Imperial Chinese Navy,10 February 1895,A pre-dreadnought battleship that was scuttled after taking damage in the Battle of Weihaiwei.,37°30′1.68″N 122°10′48.57″E
Dongfang zhi Xing,China,1-Jun-15,"A cruise ship that ran between Nanjing and Chongqing. It capsized on the Yangtze River after being hit by a downburst in Jianli County, Jingzhou, Hubei, killing 442.",29°45′33″N 112°55′22″E
Huaguangjiao One,Unknown,Unknown,"A Chinese merchant vessel built during the Southern Song dynasty (1127–1279). It was discovered in 1996, and was the first vessel China discovered in the open seas.",16°16′16″N 111°34′03″E
Jingyuan,Imperial Chinese Navy,17 September 1894,An armored cruiser that was sunk in the Battle of the Yalu River.,39°12′50″N 123°07′35″E
Jiyuan,Imperial Chinese Navy,30-Nov-04,A protected cruiser that struck a mine off the Lüshunkou District.,38°51′N 121°05′E
Kaimon,Imperial Chinese Navy,5-Jul-04,A sloop-of-war that struck a mine off Lüshunkou.,38°50′N 121°50′E
Laiyuan,Imperial Chinese Navy,5 February 1895,An armored cruiser that was sunk in the Battle of Weihaiwei.,37°29′49″N 122°10′16″E
Nan'ao One,Unknown,Unknown,"A late Ming dynasty (1368–1644) merchant ship, the first ever found in the South China Seas.",23°40′N 117°20′E
Nanhai One,Unknown,Unknown,"A Chinese merchant vessel which sank off the south coast during the Southern Song dynasty, between 1127 and 1279.",21°34′34″N 111°52′08″E
Ōshima,Imperial Japanese Navy,18-May-04,A gunboat that collided with Akagi in heavy fog off Lüshunkou.,39°01′N 121°08′E
Petropavlovsk,Imperial Russian Navy,13-Apr-04,A Petropavlovsk-class battleship that was sunk by a mine in the Yellow Sea.[5],
Red Star 312,China,Mar-83,"A ferry on the Guangzhou–Zhaoqing route. It capsized in thunderstorm at Shanshui, Guangdong, with at least 147 people confirmed dead.",
Rong Jian,China,Jun-00,"Capsized in Yangtze River, Hejiang, Sichuan, with at least 131 people confirmed dead.",
Sevastopol,Imperial Russian Navy,2-Jan-05,A Petropavlovsk-class battleship that was scuttled in the Yellow Sea to avoid capture.,
Wanjiao One,Unknown,Unknown,An ancient Chinese merchant ship dating back to the reign of the Kangxi Emperor (1654–1722) of the Qing dynasty.,22°16′N 111°03′E
HMAS Armidale,Royal Australian Navy,1-Dec-42,A Bathurst-class corvette that was sunk by Japanese aircraft off Betano Bay.,9°9′52″S 125°43′30″E
HMAS Voyager,Royal Australian Navy,23-Sep-42,A W-class destroyer that ran aground at Betano Bay.,9°15′S 125°45′E
Bokhara,United Kingdom,10 October 1892,"A steamship that sank in a typhoon, killing 125 people on board.",
Fatshan,Hong Kong,17-Aug-71,"A ferry that sank near Lantau Island during the height of Typhoon Rose; of the 92 on board, only 4 people survived.",
RMS Queen Elizabeth,United Kingdom,9-Jan-72,"An ocean liner that caught fire in mysterious circumstances, and was capsized by the water used to fight the fire. The wreck now lies buried beneath Container Terminal 9.",22°19.717′N 114°06.733′E
Lamma IV,Hong Kong,1-Oct-12,"A ferry that collided with another ferry off Lamma Island, killing 39 of the 127 on board.[6]",22°14′08″N 114°06′14″E
Neftegaz-67,Ukraine,22-Mar-08,A Ukrainian anchor handling tug supply vessel which sank after colliding with China-registered bulk carrier Yao Hai east of Brothers Island. The wreck was salvaged 27 April 2008.,
PNS Ghazi,Pakistan Navy,4-Dec-71,"A Tench-class submarine that sank in unknown circumstances off Visakhapatnam, during the Indo-Pakistani War.",
The Kadakkarapally Boat,Unknown,11–12th century,"A wreck that was discovered in a coconut grove near Kadakkarappally, Kerala, that dates from around 1020–1160 AD.",
Stakesby,United Kingdom,31-Jul-49,"A cargo ship that became stranded in the Karnaphuli River, Chittagong.[7]",
HMS Alceste,Royal Navy,22 February 1817,An Armide-class frigate that was wrecked in the Java Sea.,
Amagiri,Imperial Japanese Navy,23-Apr-44,A Fubuki-class destroyer that struck a mine near Balikpapan.,02°10′S 116°45′E
Aquila,Italy,27-May-58,"A cargo ship that was bombed and sunk by the CIA while anchored at Ambon, Maluku, as part of a covert operation to drive foreign trade from Indonesian waters.",
Asagumo,Imperial Japanese Navy,25-Oct-44,An Asashio-class destroyer that was torpedoed by USS McDermut at the Battle of Surigao Strait.,01°59′S 104°56′E
Ashigara,Imperial Japanese Navy,8-Jun-45,A Myōkō-class heavy cruiser that was torpedoed off the Bangka–Belitung Islands.,01°59′S 104°56′E
Belitung shipwreck,Unknown,830 CE (Approximately),The wreck of an Arabian dhow that sank off Belitung Island,2°45′39.00″S 107°35′42.66″E
USS Bullhead,United States Navy,6-Aug-45,A Balao-class submarine that was sunk by Japanese aircraft in the Java Sea.,
HNLMS De Ruyter,Royal Netherlands Navy,28-Feb-42,A light cruiser torpedoed by Haguro in the Battle of the Java Sea.,5°58′55″S 112°3′57″E
USS Edsall,United States Navy,1-Mar-42,A Clemson-class destroyer that was sunk by Japanese forces in the Java Sea.,13°45′S 106°45′E
HMS Electra,Royal Navy,27-Feb-42,An E-class destroyer that was sunk in the Battle of the Java Sea.,5°0′S 111°0′E
HMS Encounter,Royal Navy,1-Mar-42,An E-class destroyer that was sunk in the Second Battle of the Java Sea.,
HMS Exeter,Royal Navy,1-Mar-42,A York-class heavy cruiser that was sunk in the Second Battle of the Java Sea.,
Friendship,Great Britain,28 October 1788,A First Fleet transport ship that was scuttled in Makassar Strait.,
Hayanami,Imperial Japanese Navy,7-Jun-44,A Yūgumo-class destroyer that was torpedoed by USS Harder near Tawi-Tawi.,04°43′N 120°03′E
Hokaze,Imperial Japanese Navy,6-Jul-44,A Minekaze-class destroyer that was sunk by USS Paddle.,03°24′N 125°28′E
USS Houston,United States Navy,1-Mar-42,A Northampton-class heavy cruiser that was sunk in the Battle of Sunda Strait.,5°48′45″S 106°7′55″E
I-60,Imperial Japanese Navy,17-Jan-42,A Kaidai-type submarine that was sunk by HMS Jupiter west of Krakatoa.,06°19′30″S 104°49′20″E
Inazuma,Imperial Japanese Navy,14-May-44,A Fubuki-class destroyer that was sunk by USS Bonefish.,5°8′N 119°38′E
Isonami,Imperial Japanese Navy,9-Apr-43,A Fubuki-class destroyer that was torpedoed by USS Tautog southeast of Wangiwangi Island.,5°26′S 123°4′E
Isuzu,Imperial Japanese Navy,7-Apr-45,A Nagara-class light cruiser that was sunk near Bima.,07°38′S 118°09′E
Itsukushima,Imperial Japanese Navy,7-Oct-44,A minelayer that was torpedoed by HNLMS Zwaardvisch off Bawean.,5°23′S 113°48′E
HNLMS Java,Royal Netherlands Navy,27-Feb-42,A Java-class cruiser that was sunk by Nachi in the Battle of the Java Sea.,6°00′01″S 112°05′00″E
Junyō Maru,Imperial Japanese Navy,18-Sep-44,"A ""hell ship"" that was sunk by HMS Tradewind, with over 5,000 deaths.",2°53′S 101°11′E
HMS Jupiter,Royal Navy,27-Feb-42,A J-class destroyer that hit a mine off the north coast of Java.,6°45′S 112°6′E
HNLMS K VII,Royal Netherlands Navy,18-Feb-42,A K V-class submarine that was bombed by Japanese aircraft in Surabaya harbour.,
HNLMS K XVIII,Royal Netherlands Navy,16-Jun-45,A K XIV-class submarine that was sunk by HMS Taciturn off Surabaya.,06°48′S 112°47′E
HNLMS Kortenaer,Royal Netherlands Navy,27-Feb-42,An Admiralen-class destroyer that was torpedoed by Haguro in the Battle of the Java Sea.,6°29′S 112°05′E
Lammermuir,United Kingdom,31 December 1863,An extreme clipper that was wrecked on Amherst Reef in Gaspar Strait.,
USS Langley,United States Navy,27-Feb-42,An aircraft carrier that was attacked by Japanese dive bombers and scuttled off Cilacap Regency.,8°51′S 109°2′E
Levina 1,Indonesia,25-Feb-07,"A passenger ferry that caught fire on 22 February, and sank three days later with a group of journalists and investigators aboard.",
USAT Liberty,United States Army,11-Jan-42,"A troopship that was torpedoed by I-166 and beached at Tulamben, Bali.",8°017′03″S 115°035′021″E
HMS Li Wo,Royal Navy,14-Feb-42,An auxiliary patrol vessel that was sunk by a convoy of Japanese warships.,
Memnon,United States,September 1851,A clipper that was lost in the Gaspar Strait.,
Minazuki,Imperial Japanese Navy,6-Jun-44,A Mutsuki-class destroyer that was sunk by USS Harder.,04°05′N 119°30′E
Nadakaze,Imperial Japanese Navy,25-Jul-45,A Minekaze-class destroyer that was torpedoed by HMS Stubborn near Lombok Strait.,07°06′S 115°42′E
Natsushio,Imperial Japanese Navy,9-Feb-42,A Kagerō-class destroyer that was torpedoed by USS S-37 near Makassar.,05°10′S 119°24′E
No. 2,Imperial Japanese Navy,27-Jun-45,A No.1-class submarine chaser that was sunk by USS Blueback.,07°30′S 116°15′E
Ocean,East India Company,5 February 1797,An East Indiaman that struck a reef and was scuttled off Kalatea.,7°9′S 121°00′E
USS Perch,United States Navy,3-Mar-42,A Porpoise-class submarine that took damage and was scuttled off Madura Island.,6°30′S 113°50′E
HMAS Perth,Royal Australian Navy,1-Mar-42,A Leander-class light cruiser that was torpedoed in the Battle of Sunda Strait.,05°51′42″S 106°7′52″E
USS Pope,United States Navy,1-Mar-42,A Clemson-class destroyer that was sunk in the Second Battle of the Java Sea.,
USS S-36,United States Navy,21-Jan-42,An S-class submarine that ran aground on a reef and was scuttled.,4°57′N 118°31′E
San Flaviano,United Kingdom,28-Apr-58,"A British oil tanker that was bombed and sunk at Balikpapan, East Kalimantan. The attack was orchestrated by the CIA, in support of a local rebellion.",
Senopati Nusantara,Indonesia,30-Dec-06,"A passenger ferry that sank in a storm in the Java Sea, with 400–500 dead.",
Sierra Cordoba,United States,31-Dec-41,A cargo liner that was sunk by a Japanese flying boat.,1°00′N 119°10′E
KMP Tampomas II,Indonesia,27-Jan-81,"An Indonesian passenger ship that sank near Masalembu Island, Java Sea, with an estimated loss of 431 dead.",5°30′S 114°26′E
Tōhō Maru,Imperial Japanese Navy,29-Mar-43,An oil tanker that was torpedoed by USS Gudgeon in the Makassar Strait.,00°00′N 118°19′E
Tsugaru,Imperial Japanese Navy,29-Jun-44,A minelayer that was sunk by USS Darter near Tobelo.,2°19′N 127°57′E
